[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:351] File /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.7/lib/python3.7/xml/etree/ElementTree.py first seen with mtime 1586293851.0
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:351] File /Users/singh/Desktop/app_store/appstore/CS_AppsStore/venv/lib/python3.7/site-packages/django/core/mail/message.py first seen with mtime 1588107001.1896298
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:351] File /Users/singh/Desktop/app_store/appstore/CS_AppsStore/venv/lib/python3.7/site-packages/oauthlib/oauth2/rfc6749/tokens.py first seen with mtime 1588107006.8334575
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:351] File /Users/singh/Desktop/app_store/appstore/CS_AppsStore/venv/lib/python3.7/site-packages/django/contrib/staticfiles/__init__.py first seen with mtime 1588107001.166969
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:351] File /Users/singh/Desktop/app_store/appstore/CS_AppsStore/venv/lib/python3.7/site-packages/chardet/langbulgarianmodel.py first seen with mtime 1588106997.973513
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:351] File /Users/singh/Desktop/app_store/appstore/CS_AppsStore/venv/lib/python3.7/site-packages/kubernetes/client/models/v1alpha1_volume_error.py first seen with mtime 1588107015.2581398
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:351] File /Users/singh/Desktop/app_store/appstore/CS_AppsStore/venv/lib/python3.7/site-packages/kubernetes/client/models/v1_network_policy_egress_rule.py first seen with mtime 1588107015.1952307
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:351] File /Users/singh/Desktop/app_store/appstore/CS_AppsStore/venv/lib/python3.7/site-packages/kubernetes/client/models/v1beta1_custom_resource_definition_condition.py first seen with mtime 1588107015.2673068
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:351] File /Users/singh/Desktop/app_store/appstore/CS_AppsStore/venv/lib/python3.7/site-packages/django/core/management/commands/runserver.py first seen with mtime 1588107001.1987767
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:351] File /Users/singh/Desktop/app_store/appstore/CS_AppsStore/venv/lib/python3.7/site-packages/django/contrib/auth/hashers.py first seen with mtime 1588107000.1757994
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:351] File /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.7/lib/python3.7/keyword.py first seen with mtime 1586293762.0
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:351] File /Users/singh/Desktop/app_store/appstore/CS_AppsStore/venv/lib/python3.7/site-packages/django/db/models/functions/comparison.py first seen with mtime 1588107001.2478623
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:351] File /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.7/lib/python3.7/_collections_abc.py first seen with mtime 1586293758.0
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:351] File /Users/singh/Desktop/app_store/appstore/CS_AppsStore/venv/lib/python3.7/site-packages/kubernetes/client/apis/settings_v1alpha1_api.py first seen with mtime 1588107015.1314678
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:351] File /Users/singh/Desktop/app_store/appstore/CS_AppsStore/venv/lib/python3.7/site-packages/kubernetes/client/models/v2beta2_metric_value_status.py first seen with mtime 1588107015.3301544
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:351] File /Users/singh/Desktop/app_store/appstore/CS_AppsStore/venv/lib/python3.7/site-packages/jinja2/exceptions.py first seen with mtime 1588107013.968591
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:351] File /Users/singh/Desktop/app_store/appstore/CS_AppsStore/venv/lib/python3.7/site-packages/kubernetes/config/kube_config.py first seen with mtime 1588107015.3356936
